,White,Black,Native American,Asian,Hawaiian,Hispanic,Two or more,Region,Location
0,4150884,315816,65112,772340,28080,1878776,190992,Region,Region
1,221476,22320,2908,33088,2112,91728,11388,Downtown,Downtown
