jurisdiction,yr_id,long_name,units,unoccupiable,occupied,vacancy
San Marcos,2045,Multifamily,20797,130,18308,2489
San Marcos,2045,Mobile Home,3640,78,3562,78
San Marcos,2045,Single-family Detached,14828,164,14322,506
San Marcos,2045,Single-family Attached,2785,11,2177,608
San Marcos,2050,Multifamily,20797,130,19134,1663
San Marcos,2050,Mobile Home,3640,78,3562,78
San Marcos,2050,Single-family Detached,14828,164,14362,466
San Marcos,2050,Single-family Attached,2785,11,2258,527
Santee,2016,Multifamily,5447,95,5144,303
Santee,2016,Mobile Home,2252,64,2184,68
Santee,2016,Single-family Detached,10985,178,10750,235
Santee,2016,Single-family Attached,1841,38,1781,60
Santee,2018,Multifamily,5422,94,5278,144
Santee,2018,Mobile Home,2252,64,2187,65
Santee,2018,Single-family Detached,11091,178,10850,241
Santee,2018,Single-family Attached,1845,38,1791,54
Santee,2020,Multifamily,5495,94,5328,167
Santee,2020,Mobile Home,2252,64,2188,64
Santee,2020,Single-family Detached,11457,178,11190,267
Santee,2020,Single-family Attached,1845,38,1793,52
Santee,2025,Multifamily,6054,94,5803,251
Santee,2025,Mobile Home,2252,64,2188,64
Santee,2025,Single-family Detached,11532,178,11267,265
Santee,2025,Single-family Attached,1845,38,1797,48
Santee,2030,Multifamily,6539,94,6211,328
Santee,2030,Mobile Home,2252,64,2188,64
Santee,2030,Single-family Detached,11560,178,11310,250
Santee,2030,Single-family Attached,1845,38,1798,47
Santee,2035,Multifamily,8398,94,7874,524
Santee,2035,Mobile Home,2252,64,2188,64
Santee,2035,Single-family Detached,11569,178,11346,223
Santee,2035,Single-family Attached,1845,38,1805,40
Santee,2040,Multifamily,8410,94,8013,397
Santee,2040,Mobile Home,2252,64,2188,64
Santee,2040,Single-family Detached,11571,178,11356,215
Santee,2040,Single-family Attached,2241,38,1899,342
Santee,2045,Multifamily,8423,94,8047,376
Santee,2045,Mobile Home,2252,64,2188,64
Santee,2045,Single-family Detached,11571,178,11362,209
Santee,2045,Single-family Attached,2352,38,1978,374
Santee,2050,Multifamily,8426,94,8085,341
Santee,2050,Mobile Home,2252,64,2188,64
Santee,2050,Single-family Detached,11571,178,11368,203
Santee,2050,Single-family Attached,2362,38,2057,305
Solana Beach,2016,Multifamily,2635,292,2335,300
Solana Beach,2016,Mobile Home,0,0,0,0
Solana Beach,2016,Single-family Detached,3082,194,2882,200
Solana Beach,2016,Single-family Attached,780,58,721,59
Solana Beach,2018,Multifamily,2635,292,2342,293
Solana Beach,2018,Mobile Home,0,0,0,0
Solana Beach,2018,Single-family Detached,3087,193,2892,195
Solana Beach,2018,Single-family Attached,779,58,721,58
Solana Beach,2020,Multifamily,2663,292,2366,297
Solana Beach,2020,Mobile Home,0,0,0,0
Solana Beach,2020,Single-family Detached,3093,193,2899,194
Solana Beach,2020,Single-family Attached,779,58,721,58
Solana Beach,2025,Multifamily,2699,292,2398,301
Solana Beach,2025,Mobile Home,0,0,0,0
Solana Beach,2025,Single-family Detached,3127,193,2929,198
Solana Beach,2025,Single-family Attached,779,58,721,58
Solana Beach,2030,Multifamily,2741,292,2440,301
Solana Beach,2030,Mobile Home,0,0,0,0
Solana Beach,2030,Single-family Detached,3173,193,2966,207
Solana Beach,2030,Single-family Attached,779,58,721,58
Solana Beach,2035,Multifamily,2787,292,2475,312
Solana Beach,2035,Mobile Home,0,0,0,0
Solana Beach,2035,Single-family Detached,3183,193,2983,200
Solana Beach,2035,Single-family Attached,779,58,721,58
Solana Beach,2040,Multifamily,2804,292,2487,317
Solana Beach,2040,Mobile Home,0,0,0,0
Solana Beach,2040,Single-family Detached,3183,193,2987,196
Solana Beach,2040,Single-family Attached,836,58,750,86
Solana Beach,2045,Multifamily,2821,292,2500,321
Solana Beach,2045,Mobile Home,0,0,0,0
Solana Beach,2045,Single-family Detached,3183,193,2987,196
Solana Beach,2045,Single-family Attached,838,58,756,82
Solana Beach,2050,Multifamily,2829,292,2509,320
Solana Beach,2050,Mobile Home,0,0,0,0
Solana Beach,2050,Single-family Detached,3183,193,2988,195
Solana Beach,2050,Single-family Attached,842,58,758,84
Unincorporated,2016,Multifamily,24122,714,23200,922
Unincorporated,2016,Mobile Home,12337,838,11450,887
Unincorporated,2016,Single-family Detached,124618,5278,118109,6509
Unincorporated,2016,Single-family Attached,13005,326,12560,445
Unincorporated,2018,Multifamily,24158,706,23186,972
Unincorporated,2018,Mobile Home,12276,838,11378,898
Unincorporated,2018,Single-family Detached,126327,5261,119279,7048
Unincorporated,2018,Single-family Attached,13093,326,12623,470
Unincorporated,2020,Multifamily,24705,706,23587,1118
Unincorporated,2020,Mobile Home,12276,838,11386,890
Unincorporated,2020,Single-family Detached,128613,5261,121435,7178
Unincorporated,2020,Single-family Attached,13095,326,12642,453
Unincorporated,2025,Multifamily,27914,706,26446,1468
Unincorporated,2025,Mobile Home,12276,838,11402,874
Unincorporated,2025,Single-family Detached,134275,5261,126230,8045
Unincorporated,2025,Single-family Attached,13100,326,12728,372
Unincorporated,2030,Multifamily,30814,706,29028,1786
Unincorporated,2030,Mobile Home,12276,838,11406,870
Unincorporated,2030,Single-family Detached,139060,5261,130401,8659
Unincorporated,2030,Single-family Attached,13107,326,12746,361
Unincorporated,2035,Multifamily,33321,706,31351,1970
Unincorporated,2035,Mobile Home,12276,838,11408,868
Unincorporated,2035,Single-family Detached,141389,5261,132460,8929
Unincorporated,2035,Single-family Attached,13107,326,12749,358
Unincorporated,2040,Multifamily,33606,706,31708,1898
Unincorporated,2040,Mobile Home,12276,838,11411,865
Unincorporated,2040,Single-family Detached,142440,5261,133417,9023
Unincorporated,2040,Single-family Attached,14373,326,12962,1411
Unincorporated,2045,Multifamily,33829,706,31952,1877
Unincorporated,2045,Mobile Home,12276,838,11412,864
Unincorporated,2045,Single-family Detached,142938,5261,134070,8868
Unincorporated,2045,Single-family Attached,14835,326,13212,1623
Unincorporated,2050,Multifamily,34011,706,32138,1873
Unincorporated,2050,Mobile Home,12276,838,11412,864
Unincorporated,2050,Single-family Detached,143354,5261,134578,8776
Unincorporated,2050,Single-family Attached,15085,326,13342,1743
Vista,2016,Multifamily,12470,236,12206,264
Vista,2016,Mobile Home,1998,47,1950,48
Vista,2016,Single-family Detached,15675,375,15264,411
Vista,2016,Single-family Attached,2052,37,2010,42
Vista,2018,Multifamily,12424,236,12163,261
Vista,2018,Mobile Home,1998,47,1950,48
Vista,2018,Single-family Detached,15789,375,15282,507
Vista,2018,Single-family Attached,2064,37,2010,54
Vista,2020,Multifamily,12553,236,12240,313
Vista,2020,Mobile Home,1998,47,1950,48
Vista,2020,Single-family Detached,15821,375,15345,476
Vista,2020,Single-family Attached,2064,37,2014,50
Vista,2025,Multifamily,14012,236,13510,502
Vista,2025,Mobile Home,1998,47,1951,47
Vista,2025,Single-family Detached,16231,375,15692,539
Vista,2025,Single-family Attached,2064,37,2024,40
Vista,2030,Multifamily,14812,236,14213,599
Vista,2030,Mobile Home,1998,47,1951,47
Vista,2030,Single-family Detached,16385,375,15832,553
Vista,2030,Single-family Attached,2064,37,2024,40
Vista,2035,Multifamily,15885,236,15163,722
Vista,2035,Mobile Home,1998,47,1951,47
Vista,2035,Single-family Detached,16484,375,15953,531
Vista,2035,Single-family Attached,2064,37,2025,39
Vista,2040,Multifamily,15988,236,15325,663
Vista,2040,Mobile Home,1998,47,1951,47
Vista,2040,Single-family Detached,16500,375,15990,510
Vista,2040,Single-family Attached,2479,37,2112,367
Vista,2045,Multifamily,16033,236,15361,672
Vista,2045,Mobile Home,1998,47,1951,47
Vista,2045,Single-family Detached,16505,375,15993,512
Vista,2045,Single-family Attached,2479,37,2123,356
Vista,2050,Multifamily,16082,236,15399,683
Vista,2050,Mobile Home,1998,47,1951,47
Vista,2050,Single-family Detached,16515,375,16002,513
Vista,2050,Single-family Attached,2479,37,2135,344
