jurisdiction,yr_id,long_name,units,unoccupiable,occupied,vacancy
Coronado,2045,Single-family Detached,4322,615,3690,632
Coronado,2045,Single-family Attached,1206,308,874,332
Coronado,2050,Multifamily,4178,1017,3133,1045
Coronado,2050,Mobile Home,0,0,0,0
Coronado,2050,Single-family Detached,4322,615,3690,632
Coronado,2050,Single-family Attached,1216,308,883,333
Del Mar,2016,Multifamily,725,128,576,149
Del Mar,2016,Mobile Home,0,0,0,0
Del Mar,2016,Single-family Detached,1565,263,1240,325
Del Mar,2016,Single-family Attached,321,52,258,63
Del Mar,2018,Multifamily,724,128,577,147
Del Mar,2018,Mobile Home,0,0,0,0
Del Mar,2018,Single-family Detached,1568,263,1247,321
Del Mar,2018,Single-family Attached,323,52,258,65
Del Mar,2020,Multifamily,724,128,585,139
Del Mar,2020,Mobile Home,0,0,0,0
Del Mar,2020,Single-family Detached,1568,263,1252,316
Del Mar,2020,Single-family Attached,323,52,259,64
Del Mar,2025,Multifamily,724,128,588,136
Del Mar,2025,Mobile Home,0,0,0,0
Del Mar,2025,Single-family Detached,1568,263,1268,300
Del Mar,2025,Single-family Attached,323,52,262,61
Del Mar,2030,Multifamily,724,128,589,135
Del Mar,2030,Mobile Home,0,0,0,0
Del Mar,2030,Single-family Detached,1570,263,1278,292
Del Mar,2030,Single-family Attached,323,52,262,61
Del Mar,2035,Multifamily,741,128,596,145
Del Mar,2035,Mobile Home,0,0,0,0
Del Mar,2035,Single-family Detached,1577,263,1290,287
Del Mar,2035,Single-family Attached,323,52,265,58
Del Mar,2040,Multifamily,744,128,600,144
Del Mar,2040,Mobile Home,0,0,0,0
Del Mar,2040,Single-family Detached,1577,263,1296,281
Del Mar,2040,Single-family Attached,337,52,265,72
Del Mar,2045,Multifamily,744,128,600,144
Del Mar,2045,Mobile Home,0,0,0,0
Del Mar,2045,Single-family Detached,1577,263,1297,280
Del Mar,2045,Single-family Attached,342,52,269,73
Del Mar,2050,Multifamily,744,128,601,143
Del Mar,2050,Mobile Home,0,0,0,0
Del Mar,2050,Single-family Detached,1577,263,1298,279
Del Mar,2050,Single-family Attached,347,52,272,75
El Cajon,2016,Multifamily,18574,297,18240,334
El Cajon,2016,Mobile Home,2196,61,2129,67
El Cajon,2016,Single-family Detached,13941,227,13635,306
El Cajon,2016,Single-family Attached,1301,14,1284,17
El Cajon,2018,Multifamily,18599,297,18211,388
El Cajon,2018,Mobile Home,2196,61,2126,70
El Cajon,2018,Single-family Detached,13967,227,13631,336
El Cajon,2018,Single-family Attached,1299,14,1281,18
El Cajon,2020,Multifamily,18730,297,18325,405
El Cajon,2020,Mobile Home,2196,61,2127,69
El Cajon,2020,Single-family Detached,14018,227,13698,320
El Cajon,2020,Single-family Attached,1331,14,1292,39
El Cajon,2025,Multifamily,19125,297,18656,469
El Cajon,2025,Mobile Home,2196,61,2128,68
El Cajon,2025,Single-family Detached,14056,227,13755,301
El Cajon,2025,Single-family Attached,1374,14,1318,56
El Cajon,2030,Multifamily,19954,297,19402,552
El Cajon,2030,Mobile Home,2196,61,2130,66
El Cajon,2030,Single-family Detached,14167,227,13866,301
El Cajon,2030,Single-family Attached,1514,14,1419,95
El Cajon,2035,Multifamily,21019,297,20372,647
El Cajon,2035,Mobile Home,2196,61,2133,63
El Cajon,2035,Single-family Detached,14254,227,13935,319
El Cajon,2035,Single-family Attached,1543,14,1469,74
El Cajon,2040,Multifamily,21691,297,20805,886
El Cajon,2040,Mobile Home,2196,61,2133,63
El Cajon,2040,Single-family Detached,14291,227,13959,332
El Cajon,2040,Single-family Attached,1620,14,1487,133
El Cajon,2045,Multifamily,22027,297,21130,897
El Cajon,2045,Mobile Home,2196,61,2133,63
El Cajon,2045,Single-family Detached,14308,227,13981,327
El Cajon,2045,Single-family Attached,1632,14,1499,133
El Cajon,2050,Multifamily,22323,297,21412,911
El Cajon,2050,Mobile Home,2196,61,2133,63
El Cajon,2050,Single-family Detached,14313,227,13991,322
El Cajon,2050,Single-family Attached,1632,14,1503,129
Encinitas,2016,Multifamily,4051,167,3853,198
Encinitas,2016,Mobile Home,739,41,694,45
Encinitas,2016,Single-family Detached,16435,563,15618,817
Encinitas,2016,Single-family Attached,4815,171,4565,250
Encinitas,2018,Multifamily,4076,167,3872,204
Encinitas,2018,Mobile Home,739,41,696,43
Encinitas,2018,Single-family Detached,16534,563,15713,821
Encinitas,2018,Single-family Attached,4831,171,4584,247
Encinitas,2020,Multifamily,4104,167,3890,214
Encinitas,2020,Mobile Home,739,41,698,41
Encinitas,2020,Single-family Detached,16684,563,15840,844
Encinitas,2020,Single-family Attached,4831,171,4597,234
Encinitas,2025,Multifamily,4296,167,4030,266
Encinitas,2025,Mobile Home,739,41,698,41
Encinitas,2025,Single-family Detached,16837,563,15982,855
Encinitas,2025,Single-family Attached,4831,171,4616,215
Encinitas,2030,Multifamily,4513,167,4221,292
Encinitas,2030,Mobile Home,739,41,698,41
Encinitas,2030,Single-family Detached,16922,563,16054,868
Encinitas,2030,Single-family Attached,4831,171,4619,212
Encinitas,2035,Multifamily,4698,167,4401,297
Encinitas,2035,Mobile Home,739,41,698,41
Encinitas,2035,Single-family Detached,16981,563,16093,888
Encinitas,2035,Single-family Attached,4831,171,4624,207
Encinitas,2040,Multifamily,4840,167,4522,318
Encinitas,2040,Mobile Home,739,41,698,41
Encinitas,2040,Single-family Detached,17047,563,16142,905
Encinitas,2040,Single-family Attached,4955,171,4646,309
Encinitas,2045,Multifamily,4902,167,4588,314
Encinitas,2045,Mobile Home,739,41,698,41
Encinitas,2045,Single-family Detached,17061,563,16148,913
Encinitas,2045,Single-family Attached,4955,171,4650,305
Encinitas,2050,Multifamily,4937,167,4631,306
Encinitas,2050,Mobile Home,739,41,698,41
Encinitas,2050,Single-family Detached,17064,563,16176,888
Encinitas,2050,Single-family Attached,5006,171,4668,338
Escondido,2016,Multifamily,16895,320,16224,671
Escondido,2016,Mobile Home,3738,73,3605,133
Escondido,2016,Single-family Detached,24645,530,23666,979
Escondido,2016,Single-family Attached,3184,68,3061,123
Escondido,2018,Multifamily,16700,314,16062,638
Escondido,2018,Mobile Home,3738,73,3611,127
Escondido,2018,Single-family Detached,24882,530,23890,992
Escondido,2018,Single-family Attached,3196,68,3076,120
Escondido,2020,Multifamily,18363,314,17534,829
Escondido,2020,Mobile Home,3738,73,3618,120
Escondido,2020,Single-family Detached,25417,530,24350,1067
Escondido,2020,Single-family Attached,3196,68,3092,104
Escondido,2025,Multifamily,21775,314,20590,1185
Escondido,2025,Mobile Home,3738,73,3626,112
Escondido,2025,Single-family Detached,25842,530,24558,1284
Escondido,2025,Single-family Attached,3196,68,3101,95
Escondido,2030,Multifamily,22396,314,21168,1228
Escondido,2030,Mobile Home,3738,73,3631,107
Escondido,2030,Single-family Detached,26103,530,24738,1365
Escondido,2030,Single-family Attached,3196,68,3105,91
Escondido,2035,Multifamily,23270,314,21980,1290
Escondido,2035,Mobile Home,3738,73,3633,105
Escondido,2035,Single-family Detached,26443,530,25012,1431
Escondido,2035,Single-family Attached,3196,68,3111,85
Escondido,2040,Multifamily,23749,314,22308,1441
Escondido,2040,Mobile Home,3738,73,3633,105
Escondido,2040,Single-family Detached,26634,530,25110,1524
Escondido,2040,Single-family Attached,3266,68,3121,145
Escondido,2045,Multifamily,24072,314,22599,1473
Escondido,2045,Mobile Home,3738,73,3634,104
Escondido,2045,Single-family Detached,26744,530,25232,1512
Escondido,2045,Single-family Attached,3268,68,3127,141
Escondido,2050,Multifamily,24353,314,22872,1481
Escondido,2050,Mobile Home,3738,73,3634,104
Escondido,2050,Single-family Detached,26842,530,25323,1519
Escondido,2050,Single-family Attached,3268,68,3129,139
Imperial Beach,2016,Multifamily,3980,96,3883,97
Imperial Beach,2016,Mobile Home,185,8,177,8
Imperial Beach,2016,Single-family Detached,4340,90,4248,92
Imperial Beach,2016,Single-family Attached,1251,30,1221,30
Imperial Beach,2018,Multifamily,4125,96,4013,112
Imperial Beach,2018,Mobile Home,185,8,177,8
Imperial Beach,2018,Single-family Detached,4346,90,4252,94
Imperial Beach,2018,Single-family Attached,1254,30,1224,30
Imperial Beach,2020,Multifamily,4290,96,4162,128
Imperial Beach,2020,Mobile Home,185,8,177,8
Imperial Beach,2020,Single-family Detached,4375,90,4281,94
Imperial Beach,2020,Single-family Attached,1254,30,1224,30
Imperial Beach,2025,Multifamily,4650,96,4470,180
Imperial Beach,2025,Mobile Home,185,8,177,8
Imperial Beach,2025,Single-family Detached,4417,90,4320,97
Imperial Beach,2025,Single-family Attached,1254,30,1224,30
Imperial Beach,2030,Multifamily,4707,96,4519,188
Imperial Beach,2030,Mobile Home,185,8,177,8
Imperial Beach,2030,Single-family Detached,4420,90,4324,96
Imperial Beach,2030,Single-family Attached,1254,30,1224,30
Imperial Beach,2035,Multifamily,4905,96,4705,200
Imperial Beach,2035,Mobile Home,185,8,177,8
Imperial Beach,2035,Single-family Detached,4421,90,4326,95
Imperial Beach,2035,Single-family Attached,1254,30,1224,30
Imperial Beach,2040,Multifamily,5030,96,4781,249
Imperial Beach,2040,Mobile Home,185,8,177,8
Imperial Beach,2040,Single-family Detached,4424,90,4327,97
Imperial Beach,2040,Single-family Attached,1254,30,1224,30
Imperial Beach,2045,Multifamily,5092,96,4842,250
Imperial Beach,2045,Mobile Home,185,8,177,8
Imperial Beach,2045,Single-family Detached,4424,90,4328,96
Imperial Beach,2045,Single-family Attached,1254,30,1224,30
Imperial Beach,2050,Multifamily,5164,96,4913,251
Imperial Beach,2050,Mobile Home,185,8,177,8
Imperial Beach,2050,Single-family Detached,4424,90,4329,95
Imperial Beach,2050,Single-family Attached,1254,30,1224,30
La Mesa,2016,Multifamily,11532,56,11424,108
La Mesa,2016,Mobile Home,303,2,301,2
La Mesa,2016,Single-family Detached,12194,54,12122,72
La Mesa,2016,Single-family Attached,1731,5,1726,5
La Mesa,2018,Multifamily,11474,54,11406,68
La Mesa,2018,Mobile Home,303,2,301,2
La Mesa,2018,Single-family Detached,12210,54,12143,67
La Mesa,2018,Single-family Attached,1732,5,1727,5
La Mesa,2020,Multifamily,11792,54,11691,101
La Mesa,2020,Mobile Home,303,2,301,2
La Mesa,2020,Single-family Detached,12266,54,12197,69
La Mesa,2020,Single-family Attached,1732,5,1727,5
La Mesa,2025,Multifamily,12144,54,12002,142
La Mesa,2025,Mobile Home,303,2,301,2
La Mesa,2025,Single-family Detached,12276,54,12205,71
La Mesa,2025,Single-family Attached,1732,5,1727,5
La Mesa,2030,Multifamily,14903,54,14475,428
La Mesa,2030,Mobile Home,303,2,301,2
La Mesa,2030,Single-family Detached,12332,54,12244,88
La Mesa,2030,Single-family Attached,1732,5,1727,5
La Mesa,2035,Multifamily,16433,54,15863,570
La Mesa,2035,Mobile Home,303,2,301,2
La Mesa,2035,Single-family Detached,12384,54,12266,118
La Mesa,2035,Single-family Attached,1732,5,1727,5
La Mesa,2040,Multifamily,16494,54,15934,560
