tract,yr_id,name,households
100.04,2022,"$30,000 to $44,999",170
100.04,2022,"$45,000 to $59,999",97
100.04,2022,"$60,000 to $74,999",11
100.04,2022,"$75,000 to $99,999",181
100.04,2022,"$100,000 to $124,999",118
100.04,2022,"$125,000 to $149,999",137
100.04,2022,"$150,000 to $199,999",161
100.04,2022,"$200,000 or more",119
100.05,2020,"Less than $15,000",624
100.05,2020,"$15,000 to $29,999",392
100.05,2020,"$30,000 to $44,999",189
100.05,2020,"$45,000 to $59,999",125
100.05,2020,"$60,000 to $74,999",101
100.05,2020,"$75,000 to $99,999",101
100.05,2020,"$100,000 to $124,999",171
100.05,2020,"$125,000 to $149,999",128
100.05,2020,"$150,000 to $199,999",143
100.05,2020,"$200,000 or more",45
100.05,2021,"Less than $15,000",685
100.05,2021,"$15,000 to $29,999",281
100.05,2021,"$30,000 to $44,999",145
100.05,2021,"$45,000 to $59,999",85
100.05,2021,"$60,000 to $74,999",249
100.05,2021,"$75,000 to $99,999",94
100.05,2021,"$100,000 to $124,999",134
100.05,2021,"$125,000 to $149,999",74
100.05,2021,"$150,000 to $199,999",167
100.05,2021,"$200,000 or more",80
100.05,2022,"Less than $15,000",561
100.05,2022,"$15,000 to $29,999",315
100.05,2022,"$30,000 to $44,999",167
100.05,2022,"$45,000 to $59,999",103
100.05,2022,"$60,000 to $74,999",261
100.05,2022,"$75,000 to $99,999",96
100.05,2022,"$100,000 to $124,999",136
100.05,2022,"$125,000 to $149,999",78
100.05,2022,"$150,000 to $199,999",186
100.05,2022,"$200,000 or more",91
100.09,2020,"Less than $15,000",222
100.09,2020,"$15,000 to $29,999",192
100.09,2020,"$30,000 to $44,999",159
100.09,2020,"$45,000 to $59,999",253
100.09,2020,"$60,000 to $74,999",150
100.09,2020,"$75,000 to $99,999",190
100.09,2020,"$100,000 to $124,999",64
100.09,2020,"$125,000 to $149,999",146
100.09,2020,"$150,000 to $199,999",148
100.09,2020,"$200,000 or more",148
100.09,2021,"Less than $15,000",275
100.09,2021,"$15,000 to $29,999",175
100.09,2021,"$30,000 to $44,999",116
100.09,2021,"$45,000 to $59,999",214
100.09,2021,"$60,000 to $74,999",220
100.09,2021,"$75,000 to $99,999",187
100.09,2021,"$100,000 to $124,999",66
100.09,2021,"$125,000 to $149,999",111
100.09,2021,"$150,000 to $199,999",170
100.09,2021,"$200,000 or more",118
