the_geom,OBJECTID,Tier,Name
"MULTIPOLYGON (((-117.254080953674 33.215587816333, -117.25354987617 33.212121988964, -117.253683669253 33.212101161261, -117.253690522702 33.212128590457, -117.253703568679 33.212125736423, -117.253718237533 33.21212183858, -117.253734537133 33.21211758398, -117.253749202051 33.212113342607, -117.253765493779 33.212108400951, -117.253780150825 33.212103472522, -117.253794803935 33.212098200564, -117.253811091723 33.212092915376, -117.253825740895 33.212087299888, -117.253840382195 33.212080997347, -117.253855027427 33.212075038329, -117.253869664789 33.212068392258, -117.253882667468 33.212061759415, -117.25389730089 33.212054769814, -117.253911930375 33.212047436684, -117.25392492625 33.212040116776, -117.253937917116 33.212032453348, -117.253952538723 33.212024433161, -117.253965525649 33.212016426204, -117.253978508637 33.21200807572, -117.253986615133 33.212002169613, -117.253991519169 33.212002129918, -117.254002832056 33.211990700926, -117.254015807166 33.211981663384, -117.25402714366 33.211972295548, -117.254040114829 33.211962914477, -117.254051447382 33.211953203112, -117.254062779933 33.211943491746, -117.254074108546 33.211933436852, -117.254085437155 33.211923381958, -117.25409512715 33.211912996769, -117.254106447884 33.211902254819, -117.254116133938 33.211891526102, -117.254174132133 33.211816847995, -117.254182191366 33.21180681956, -117.2541918774 33.211796090837, -117.254203205979 33.211786035931, -117.254214538491 33.211776324551, -117.254227513537 33.211767286085, -117.254240496463 33.211758935573, -117.254253487259 33.211751272112, -117.254268124536 33.211744625993, -117.254282742129 33.211736262241, -117.254297375465 33.211729272592, -117.254312016672 33.211722969995, -117.254326665749 33.211717354448, -117.254342957371 33.211712412715, -117.254357618255 33.211707827744, -117.254373921684 33.211703916587, -117.254388594375 33.21170036219, -117.254404913548 33.211697825134, -117.254417975186 33.21169634513, -117.254437571577 33.211694468647, -117.254453911506 33.211693649208, -117.254630357746 33.211683631227, -117.254852547208 33.211670837511, -117.255064937523 33.211658809917, -117.255277326707 33.211646781968, -117.255408025592 33.211639194997, -117.255414540635 33.211637080837, -117.255638890002 33.211549466281, -117.255622953443 33.211460814084, -117.255973670334 33.212635739172, -117.257896951875 33.212700815024, -117.257826451529 33.212963570636, -117.257850683513 33.213457041712, -117.258233341206 33.213799922075, -117.259832769084 33.213703769721, -117.259838314597 33.214185050641, -117.260978178349 33.214074071159, -117.261467775136 33.213715871034, -117.262228489165 33.213709405704, -117.262232425104 33.21197672103, -117.267671099589 33.211940462682, -117.268755827438 33.211871435242, -117.269991956917 33.21150581278, -117.271066956048 33.210569813629, -117.272359957589 33.210231813193, -117.273314956392 33.209740813665, -117.274356955677 33.20932881278, -117.275317957012 33.208983812903, -117.277163958163 33.20868281221, -117.277434645609 33.208898829392, -117.27956911824 33.208156218816, -117.282085484972 33.20666830303, -117.283515265534 33.206200149139, -117.284960956871 33.205517811005, -117.284961161788 33.205530713965, -117.284961590475 33.205530682434, -117.285131097677 33.205430498528, -117.285628966005 33.205231200449, -117.285928334207 33.205111202051, -117.286341596729 33.204945933001, -117.286544127695 33.204865513058, -117.286556370177 33.204860653207, -117.286819942616 33.20475503864, -117.287078639253 33.204651868293, -117.287226692082 33.204592225068, -117.287324308872 33.204552929974, -117.287516293454 33.20447608453, -117.287716418895 33.204396422194, -117.287911655581 33.204318174682, -117.28809875588 33.204243086097, -117.288175221749 33.204212212792, -117.28817390576 33.204377133325, -117.290564204285 33.203444605181, -117.290572340149 33.203441444882, -117.290586985518 33.203435825047, -117.290601626808 33.203429861685, -117.290616268095 33.203423898322, -117.290630913459 33.203418278482, -117.29064555882 33.20341265864, -117.290660200102 33.203406695272, -117.29067484546 33.203401075427, -117.290691125329 33.203395441864, -117.290705770683 33.203389822016, -117.290720416035 33.203384202165, -117.290735061386 33.203378582313, -117.290749710813 33.203373305985, -117.290765990672 33.203367672413, -117.290780640096 33.203362396081, -117.290795285428 33.20335677532, -117.290809934848 33.203351498984, -117.290824585339 33.203346222638, -117.290840869268 33.203340932582, -117.290855514603 33.203335312716, -117.290870168096 33.203330379898, -117.290886452018 33.203325089836, -117.290901101428 33.20331981349, -117.290915754915 33.203314880667, -117.290930404321 33.203309604318, -117.290946692316 33.203304657773, -117.290961341718 33.203299381419, -117.290977629709 33.203294434871, -117.290992283188 33.203289502039, -117.291006936665 33.203284569206, -117.291023224651 33.203279622651, -117.291037878125 33.203274689814, -117.291052531597 33.203269756975, -117.291068823657 33.20326515394, -117.291083477126 33.203260221098, -117.291099769183 33.203255618058, -117.291114426729 33.203251028738, -117.291129080193 33.20324609589, -117.291145372245 33.203241492844, -117.291160029786 33.203236903519, -117.291176321835 33.203232300469, -117.291190979373 33.20322771114, -117.291207275499 33.203223451612, -117.291221933034 33.203218862278, -117.291238229157 33.203214602746, -117.291252886689 33.203210013409, -117.291269182809 33.203205753873, -117.291283844418 33.203201508058, -117.291300140535 33.203197248518, -117.29131479806 33.203192659174, -117.291331098255 33.203188743155, -117.291345759859 33.203184497332, -117.291362057042 33.203180237775, -117.291378353152 33.203175978224, -117.291393018832 33.203172075922, -117.29140931902 33.203168159893, -117.291423980616 33.203163914061, -117.291440280801 33.203159998028, -117.291456580984 33.203156081993, -117.291471246658 33.203152179681, -117.291487546839 33.203148263641, -117.29150221251 33.203144361326, -117.291518516769 33.203140788808, -117.291534816946 33.203136872762, -117.291549482613 33.203132970441, -117.291565786868 33.203129397917, -117.291582091123 33.203125825391, -117.291596760868 33.20312226659, -117.29161306512 33.203118694059, -117.29162936937 33.203115121527, -117.291644039112 33.20311156272, -117.291660343359 33.203107990183, -117.291676647606 33.203104417644, -117.291692955933 33.203101188629, -117.29170762567 33.203097629815, -117.291723933995 33.203094400795, -117.291740242319 33.203091171773, -117.291754912053 33.203087612954, -117.291771220374 33.203084383928, -117.291787528695 33.2030811549, -117.291803841097 33.203078269395, -117.291818514909 33.203075054093, -117.291834823225 33.203071825059, -117.291851135624 33.203068939549, -117.291867443939 33.20306571051, -117.291883756336 33.203062824995, -117.291898435298 33.2030599532, -117.291914747693 33.203057067681, -117.291931060086 33.20305418216, -117.291947372479 33.203051296636, -117.29196368487 33.203048411111, -117.291978362755 33.203045539315, -117.291994679228 33.203042997311, -117.292010991616 33.203040111779, -117.292027308087 33.203037569771, -117.292043620474 33.203034684235, -117.292058302437 33.203032155955, -117.292074618905 33.203029613941, -117.292090935373 33.203027071924, -117.292107251839 33.203024529905, -117.292123568305 33.203021987884, -117.292139888854 33.203019789386, -117.292156205317 33.20301724736, -117.292170891359 33.203015062593, -117.292187207821 33.203012520564, -117.292203528367 33.203010322057, -117.292219848911 33.203008123549, -117.292236169455 33.203005925038, -117.292252489998 33.203003726526, -117.292268810541 33.203001528011, -117.292285135167 33.20299967302, -117.292301455708 33.2029974745, -117.292316141743 33.202995289716, -117.292332466367 33.202993434718, -117.29234879099 33.202991579719, -117.292365115613 33.202989724717, -117.29238143615 33.202987526187, -117.292397764857 33.202986014706, -117.292414089478 33.202984159698, -117.29243041517 33.202982304678, -117.29244673979 33.202980449665, -117.292463068494 33.202978938176, -117.292479393112 33.202977083159, -117.292495721815 33.202975571665, -117.292512050518 33.202974060169, -117.292528375134 33.202972205146, -117.292543069331 33.202970707385, -117.292559398032 33.202969195883, -117.292575730818 33.202968027904, -117.292592059518 33.202966516398, -117.292608388217 33.202965004889, -117.292624721002 33.202963836904, -117.2926410497 33.202962325391, -117.292657382484 33.202961157402, -117.292673715268 33.20295998941, -117.292690048051 33.202958821416, -117.292706380833 33.20295765342, -117.292722713616 33.202956485422, -117.292739046397 33.202955317422, -117.292755383265 33.202954492945, -117.292771716046 33.20295332494, -117.296870100826 33.202701667142, -117.297012216047 33.202693252695, -117.306195635918 33.202138865045, -117.306812536921 33.202055965139, -117.307706885491 33.201936340204, -117.309061542122 33.201723336829, -117.309090698658 33.202010420671, -117.309203508369 33.203370646191, -117.309202971424 33.203371658915, -117.309213635512 33.203514214817, -117.309722962 33.203427810631, -117.309882963478 33.203395811491, -117.31017396334 33.203338810895, -117.310949963445 33.203170810699, -117.310950321841 33.203170733691, -117.310996415299 33.203336768695, -117.311291542834 33.203274810299, -117.311301782461 33.203310452959, -117.311287125963 33.203315044665, -117.311274124768 33.203321340007, -117.311262787194 33.203330026035, -117.311253096604 33.203339728649, -117.311246683348 33.20335009034, -117.311241912918 33.203361125094, -117.31124043646 33.203374193024, -117.311242262294 33.203389981179, -117.311467607458 33.204449999732, -117.311479906178 33.204520668811, -117.311485458767 33.204574216707, -117.311489397632 33.204629496216, -117.311498256743 33.204686107855, -117.311674524495 33.205472728358, -117.311692372133 33.205596600862, -117.311711043736 33.205788491255, -117.311718871941 33.205894928847, -117.311774114229 33.206541724475, -117.311769755676 33.206586768188, -117.311765238983 33.206618757963, -117.31175895039 33.206639425416, -117.31175615565 33.206678615216, -117.311756309622 33.206691325629, -117.311767802447 33.206830370063, -117.311792926466 33.207014990414, -117.311824579516 33.207198867741, -117.311866023564 33.207381287891, -117.311913993637 33.207562620567, -117.311971746487 33.207741808999, -117.312037651718 33.207919208891, -117.312111701061 33.208094134084, -117.312193894569 33.208266585464, -117.312284228097 33.208436217688, -117.312374383978 33.208591076473, -117.313840898698 33.208600840456, -117.313835856176 33.210070980751, -117.313966052534 33.210157128265, -117.314101093594 33.210238424237, -117.315051139672 33.21079474027, -117.315062665702 33.210801513403, -117.315250393299 33.210913276126, -117.31543165794 33.211031278169, -117.315608087009 33.211154818457, -117.315778043728 33.211283911978, -117.315943159634 33.211418199371, -117.316101800082 33.211557695609, -117.316253957796 33.211701714561, -117.316399638958 33.211850941512, -117.316538832106 33.212004346806, -117.316669906744 33.212162288947, -117.316679866331 33.212174568759, -117.31635456964 33.212177709407, -117.316218887648 33.212178532267, -117.31382736427 33.212199754267, -117.313821788179 33.212952543214, -117.31381697925 33.213768541465, -117.313813680117 33.214304867909, -117.313814163818 33.214344716726, -117.313820384128 33.214472193585, -117.313820410243 33.214472754239, -117.313747009171 33.214433895986, -117.313694253004 33.214405964583, -117.313676961692 33.214396812397, -117.313199613306 33.214084331075, -117.313178963984 33.214070812561, -117.31300096209 33.21397381309, -117.312996076459 33.213971576283, -117.312813933158 33.213888206555, -117.312799962398 33.213881812148, -117.312767192525 33.213869650828, -117.312624851067 33.213816821417, -117.312605965045 33.213809812637, -117.312580832648 33.213802205412, -117.31244386103 33.213760743921, -117.312420963898 33.213753813656, -117.312406450807 33.213750463591, -117.312297793682 33.213725388261, -117.312199964134 33.213702811692, -117.312161273443 33.213696365598, -117.3121279627 33.213690813029, -117.31207023152 33.213682132243, -117.311974964091 33.213667812364, -117.311944901824 33.213665106655, -117.311832915454 33.213655021867, -117.311763962208 33.213648813072, -117.311737252135 33.2136483077, -117.311611969288 33.213645944444, -117.311551962057 33.213644811461, -117.311536991147 33.213645374222, -117.311407011602 33.213650256697, -117.311338963735 33.213652812871, -117.31131884861 33.213655027412, -117.31124742795 33.213662893841, -117.311111963689 33.213677812323, -117.311082722678 33.213683040034, -117.31099827511 33.213698134229, -117.310904962175 33.213714812792, -117.310881006515 33.213720921327, -117.310742068945 33.213756347449, -117.310653962245 33.213778810997, -117.310637298845 33.213784365684, -117.310635963294 33.213784810838, -117.310635855328 33.21378484242, -117.310632916679 33.213785697142, -117.310429962688 33.213844813253, -117.310227962115 33.213915812924, -117.310080962622 33.213976812703, -117.309653963343 33.214177813495, -117.309525968809 33.214228234339, -117.309488962237 33.214242812238, -117.309317961035 33.214296812177, -117.309142964262 33.214341812445, -117.309009962828 33.214368811536, -117.308689962968 33.214420812959, -117.308089962593 33.214518811942, -117.307946962199 33.214544812203, -117.307771962638 33.214587812311, -117.307600961616 33.214640812549, -117.307474963043 33.214686813788, -117.307312962311 33.214756812989, -117.307156960695 33.214836812449, -117.307006961948 33.214924813922, -117.306899962678 33.214996812802, -117.306592231702 33.215214846495, -117.30654572931 33.215157892472, -117.306324856683 33.215303011008, -117.306098925528 33.215412813512, -117.305822425793 33.21553163414, -117.305717244837 33.215571711437, -117.305706471219 33.215541897206, -117.305675518806 33.215551093193, -117.305571226642 33.215579465539, -117.303895632972 33.216002893939, -117.303864659552 33.216010371851, -117.303718006336 33.216051127115, -117.303574706148 33.216098724916, -117.303434753756 33.216152821751, -117.303298148064 33.216213417641, -117.303275389554 33.216224261242, -117.30322215692 33.216148099458, -117.302961975994 33.216129007684, -117.302821928779 33.216039153156, -117.302651795185 33.215894584265, -117.302426656557 33.215662186131, -117.302126694592 33.215189243437, -117.301807219092 33.215269597367, -117.301586736922 33.215425037924, -117.300892707126 33.215628467529, -117.300572552574 33.215788873377, -117.300347266685 33.215952942267, -117.300145887832 33.216065617068, -117.299947365331 33.216143911409, -117.29979703426 33.21615068076, -117.299739303695 33.216108224405, -117.299592159883 33.216108095345, -117.297355543179 33.216103982335, -117.297340475743 33.216348036742, -117.297338454275 33.216452496771, -117.297344733844 33.216567536148, -117.297350307297 33.21662348927, -117.297062762199 33.216640346347, -117.297077235745 33.216757034361, -117.297092465749 33.21680019428, -117.297117980476 33.216883121166, -117.29719864005 33.217202637571, -117.297217578968 33.217282527914, -117.297235191013 33.217388195507, -117.297238756119 33.217412901682, -117.297243138128 33.217505969272, -117.297240985146 33.217599435593, -117.297229015279 33.217692297673, -117.297219756683 33.217738413692, -117.297193328247 33.217852698511, -117.297188649669 33.217871633772, -117.297160434494 33.217973221969, -117.297122385913 33.218072831813, -117.297077773469 33.218170435695, -117.29702494595 33.218264674209, -117.296963907416 33.218355889067, -117.296894644476 33.218443050593, -117.296880124216 33.218459320427, -117.296767268465 33.218592543165, -117.29675436654 33.218607425089, -117.296746270522 33.218614021035, -117.296736527399 33.218619600201, -117.296726767861 33.218623805267, -117.296715353012 33.218626306504, -117.29670392175 33.218627433642, -117.296692465871 33.218626499631, -117.29668099358 33.218624191519, -117.296671135571 33.21862015199, -117.29666455536 33.21861677192, -117.296584569461 33.218901227671, -117.296472648212 33.218838957017, -117.295887963787 33.218481088739, -117.29579761542 33.218582513353, -117.295492712774 33.218926582368, -117.295450089088 33.218916978393, -117.295214025157 33.218864341812, -117.295040252919 33.218825265934, -117.294879596092 33.218789171371, -117.294715660537 33.218752417096, -117.294551726192 33.218715662595, -117.294387791984 33.218678907878, -117.294236973115 33.218645133667, -117.294023838708 33.218595737394, -117.293748730702 33.218559230371, -117.293593418492 33.218422769894, -117.293428176395 33.218276085977, -117.293339112499 33.218210870867, -117.293227358011 33.218162338272, -117.29311269282 33.218144063263, -117.292988481684 33.218147856202, -117.292782367656 33.218138595202, -117.292612055513 33.218115290575, -117.292448020012 33.21806994518, -117.292290312442 33.218006681321, -117.292119461469 33.217938030738, -117.291869895095 33.217849427551, -117.291552453403 33.217827357173, -117.291110440922 33.217778845958, -117.291041682187 33.217771177624, -117.290525938754 33.217846966193, -117.2904056938 33.217909471886, -117.289988077866 33.218125637009, -117.289952548841 33.21802492851, -117.289812901816 33.218105804915, -117.288903263163 33.218330557017, -117.287749961082 33.217651813348, -117.287475113603 33.217209914057, -117.287176959133 33.216702814694, -117.286954067145 33.216113970344, -117.286942117556 33.214801657333, -117.286970190458 33.213898438282, -117.28678128191 33.213027037169, -117.286467144018 33.212479957922, -117.286066144741 33.212037846187, -117.283911727752 33.212093364285, -117.279602340291 33.212097603696, -117.276338957038 33.21197981414, -117.275258956585 33.212842812622, -117.273393954815 33.214361815037, -117.273845957189 33.214747815734, -117.274347429779 33.215688364473, -117.273334500419 33.216029291009, -117.272431957693 33.216021814632, -117.272410957372 33.218151816353, -117.271927355231 33.218036283664, -117.270903957254 33.217916813171, -117.270795012656 33.219357659675, -117.267418292655 33.219314628542, -117.265889954003 33.219258813552, -117.263948956769 33.219570815566, -117.262221954373 33.219360814705, -117.260069953272 33.220367817321, -117.258988952929 33.22091681513, -117.258383966596 33.219983835746, -117.257362963128 33.219964298704, -117.25598838098 33.219403643693, -117.254961760661 33.218629078758, -117.254323067761 33.217537956404, -117.254080953674 33.215587816333)), ((-117.25354987617 33.212121988964, -117.253549652373 33.212122024139, -117.253542954758 33.212076816118, -117.25354987617 33.212121988964)))",52,4,Oceanside - Rancho Del Oro
"MULTIPOLYGON (((-117.211320204116 33.170830640017, -117.211208941248 33.169615811317, -117.211366598167 33.168997988658, -117.211243820695 33.168463215598, -117.210788726564 33.167939380045, -117.211035958193 33.167412645906, -117.212429404902 33.167521985898, -117.212546862059 33.166609242118, -117.213915709695 33.166953706329, -117.214195704191 33.167437042397, -117.21463266664 33.166852933211, -117.213112656846 33.165056614159, -117.213572188 33.165033595589, -117.21501921659 33.165364703787, -117.215683940765 33.165829810904, -117.219608448396 33.161144600082, -117.219608943891 33.161144810818, -117.219593944908 33.161175809685, -117.219591943976 33.161177810044, -117.219590811126 33.161179102968, -117.219626908278 33.161275253437, -117.220008447274 33.161499361068, -117.22032750021 33.161687196738, -117.22090968116 33.162028946846, -117.221210637274 33.162205240085, -117.221631706717 33.162457205802, -117.221669534423 33.162479584207, -117.221832134896 33.162408222613, -117.222057448809 33.162540788567, -117.222070610293 33.162548930781, -117.22212158822 33.162578420672, -117.222174386555 33.162624730666, -117.222223951695 33.162674158027, -117.222227276352 33.16267928534, -117.222248816173 33.16270625758, -117.222180609367 33.162743896896, -117.222217153959 33.162797892641, -117.222243922653 33.162854369961, -117.222259163602 33.16290269317, -117.222260912705 33.162912986227, -117.222271381855 33.16297302697, -117.222271717029 33.163003257547, -117.222272052203 33.163033488124, -117.222262916112 33.163093682632, -117.222247228609 33.163152554284, -117.222223308074 33.163205897974, -117.222221716662 33.16320944163, -117.222188005338 33.1632636448, -117.222168708518 33.163291624423, -117.222138276118 33.163346833443, -117.222117676801 33.163404712918, -117.2221052692 33.163464589506, -117.222101038097 33.163525089093, -117.222106609675 33.163585511809, -117.222120338747 33.163644839879, -117.222142217713 33.163702386239, -117.222173868945 33.163757107486, -117.222187152495 33.163776242623, -117.222215437197 33.163822058625, -117.222242206202 33.16387853594, -117.222260829157 33.163937138492, -117.22226966464 33.163997192042, -117.222271633606 33.164027409802, -117.222270334995 33.16405765319, -117.222262832587 33.164117834877, -117.222255006422 33.164148816577, -117.222242602618 33.164209036704, -117.222238371584 33.164269537192, -117.222243943304 33.164329959898, -117.222279042724 33.164548188207, -117.222269130365 33.164549310153, -117.222319625451 33.164818938938, -117.222412327986 33.165369625038, -117.222413394633 33.165465813211, -117.222401230744 33.165547675684, -117.22218739606 33.166444015726, -117.222187048115 33.166444158223, -117.222185883705 33.166444638057, -117.222186944919 33.166444810983, -117.221646922086 33.168613015384, -117.221675924331 33.170604052703, -117.221732835951 33.17350048091, -117.221582829934 33.173664359106, -117.21961094426 33.17406881114, -117.219255602702 33.173508328378, -117.218412825156 33.173344887865, -117.217350331613 33.173587495809, -117.216123253492 33.173232712454, -117.215049945779 33.173408384691, -117.215018171388 33.173193907926, -117.213942943874 33.173178811345, -117.214060789075 33.172683609895, -117.21415788149 33.170747909492, -117.21300185359 33.170675836326, -117.213000559063 33.170561869692, -117.212330942127 33.17075981191, -117.212039942101 33.171254810882, -117.211320204116 33.170830640017)))",76,4,Vista Sycamore
